Region;Population;Density
Hokkaido;5400;70.2
Aomori;1321;142.4
Iwate;1284;87.1
Miyagi;2328;322.3
Akita;1037;93.3
Yamagata;1131;125.4
Fukushima;1935;147.2
Ibaraki;2919;487.2
Tochigi;1980;313.3
Gumma;1976;315.6
Saitama;7239;1894.2
Chiba;6197;1205.5
Tokyo;13390;6015.7
Kanagawa;9096;3745.4
Niigata;2313;188.7
Toyama;1070;257.4
Ishikawa;1156;279.5
Fukui;790;192.4
Yamanashi;841;193.3
Nagano;2109;158.7
Gifu;2041;195.9
Shizuoka;3705;483.9
Aichi;7455;1434.8
Mie;1825;321
Shiga;1416;351.2
Kyoto;2610;571.4
Osaka;8836;4669.7
Hyogo;5541;665.6
Nara;1376;379.5
Wakayama;971;212
Tottori;574;167.8
Shimane;697;107
Okayama;1924;273.5
Hiroshima;2833;337.4
Yamaguchi;1408;237.4
Tokushima;764;189.4
Kagawa;981;530.7
Ehime;1395;252.1
Kochi;738;107.6
Fukuoka;5091;1019
Saga;835;348.3
Nagasaki;1386;347.5
Kumamoto;1794;245.4
Oita;1171;188.7
Miyazaki;1114;146.7
Kagoshima;1668;185.7
Okinawa;1421;611.9
